,date,earnings,landing_page,order_status,price,referring_page,site,tracking_method
0,05/11/2018 15:37,$0.00,,Cancelled,$0.00,,thesleepjudge.com,Coupon code
1,05/07/2018 08:41,$80.75,,Paid by the client,$1615.00,,thesleepjudge.com,Coupon code
2,05/05/2018 03:47,$77.19,,Paid by the client,$1543.75,,thesleepjudge.com,Coupon code
3,05/05/2018 03:47,$77.19,,Paid by the client,$1543.75,,thesleepjudge.com,Coupon code
4,04/30/2018 23:45,$70.75,,Paid by the client,$1415.00,,thesleepjudge.com,Coupon code
5,04/18/2018 10:17,$80.75,,Paid by the client,$1615.00,,thesleepjudge.com,Coupon code
6,04/07/2018 14:54,$64.13,,Paid by the client,$1282.50,,thesleepjudge.com,Coupon code
7,04/01/2018 13:52,$95.00,https://spindlemattress.com/?aff=25,Paid by the client,$1899.98,,thesleepjudge.com,Affiliated link
8,03/30/2018 16:07,$99.75,,Paid by the client,$1995.00,,thesleepjudge.com,Coupon code
9,03/18/2018 19:13,$80.75,,Paid by the client,$1615.00,,thesleepjudge.com,Coupon code
